year,month,bidding_no,vehicle_class,quota,bids_received,premium
2010,2010-01,1,Category A,1152,1342,18502
2010,2010-01,1,Category B,687,883,19190
2010,2010-01,1,Category C,173,265,19001
2010,2010-01,1,Category D,373,509,889
2010,2010-01,1,Category E,586,1011,19889
2010,2010-01,2,Category A,1151,1673,20501
2010,2010-01,2,Category B,717,1105,22400
2010,2010-01,2,Category C,181,280,20090
2010,2010-01,2,Category D,378,551,852
2010,2010-01,2,Category E,588,1322,21899
2010,2010-02,1,Category A,1154,1326,19989
2010,2010-02,1,Category B,693,930,23180
2010,2010-02,1,Category C,165,250,21390
2010,2010-02,1,Category D,371,525,852
2010,2010-02,1,Category E,601,1069,22401
2010,2010-02,2,Category A,-1148,1493,20340
2010,2010-02,2,Category B,685,956,23889
2010,2010-02,2,Category C,173,285,23501
2010,2010-02,2,Category D,363,472,1001
2010,2010-02,2,Category E,590,1255,24229
2010,2010-03,1,Category A,1148,1758,20802
2010,2010-03,1,Category B,688,1087,26389
2010,2010-03,1,Category C,168,257,27001
2010,2010-03,1,Category D,385,467,1159
2010,2010-03,1,Category E,587,1184,27590
2010,2010-03,2,Category A,1146,2183,28389
2010,2010-03,2,Category B,711,1207,36089
2010,2010-03,2,Category C,168,341,32890
2010,2010-03,2,Category D,371,495,1200
2010,2010-03,2,Category E,584,1507,42001
2010,2010-04,1,Category A,705,1379,34001
2010,2010-04,1,Category B,571,858,45501
2010,2010-04,1,Category C,180,329,36511
2010,2010-04,1,Category D,338,409,1221
2010,2010-04,1,Category E,372,856,49000
2010,2010-04,2,Category A,706,1242,30000
2010,2010-04,2,Category B,561,896,40001
2010,2010-04,2,Category C,203,298,35556
2010,2010-04,2,Category D,339,383,1253
2010,2010-04,2,Category E,390,709,43003
2010,2010-05,1,Category A,806,1294,26102
2010,2010-05,1,Category B,550,869,38000
2010,2010-05,1,Category C,189,329,32501
2010,2010-05,1,Category D,340,415,1252
2010,2010-05,1,Category E,404,857,39002
2010,2010-05,2,Category A,699,1036,27389
2010,2010-05,2,Category B,561,715,34600
2010,2010-05,2,Category C,176,296,29389
2010,2010-05,2,Category D,364,468,1312
2010,2010-05,2,Category E,367,608,39000
2010,2010-06,1,Category A,706,1107,30051
2010,2010-06,1,Category B,553,779,40002
2010,2010-06,1,Category C,178,273,30189
2010,2010-06,1,Category D,359,504,1452
2010,2010-06,1,Category E,361,639,41000
2010,2010-06,2,Category A,699,902,31510
2010,2010-06,2,Category B,557,720,39911
2010,2010-06,2,Category C,182,253,31689
2010,2010-06,2,Category D,340,376,1454
2010,2010-06,2,Category E,362,682,41006
2010,2010-07,1,Category A,700,893,29501
2010,2010-07,1,Category B,557,671,35909
2010,2010-07,1,Category C,177,277,31389
2010,2010-07,1,Category D,351,476,1320
2010,2010-07,1,Category E,399,660,41010
2010,2010-07,2,Category A,699,967,36162
2010,2010-07,2,Category B,552,890,42889
2010,2010-07,2,Category C,183,285,30601
2010,2010-07,2,Category D,337,372,1290
2010,2010-07,2,Category E,363,725,43565
2010,2010-08,1,Category A,622,786,32104
2010,2010-08,1,Category B,479,662,43334
2010,2010-08,1,Category C,205,284,30112
2010,2010-08,1,Category D,336,384,1301
2010,2010-08,1,Category E,309,594,42901
2010,2010-08,2,Category A,606,975,1
2010,2010-08,2,Category B,482,683,42810
2010,2010-08,2,Category C,206,275,30002
2010,2010-08,2,Category D,335,369,1251
2010,2010-08,2,Category E,315,583,43501
2010,2010-09,1,Category A,631,775,33089
2010,2010-09,1,Category B,479,757,44129
2010,2010-09,1,Category C,204,291,33000
2010,2010-09,1,Category D,342,453,1502
2010,2010-09,1,Category E,310,460,44001
2010,2010-09,2,Category A,597,993,30001
2010,2010-09,2,Category B,488,648,42501
2010,2010-09,2,Category C,206,271,31001
2010,2010-09,2,Category D,338,364,1452
2010,2010-09,2,Category E,309,520,43290
2010,2010-10,1,Category A,601,722,33132
2010,2010-10,1,Category B,479,630,42801
2010,2010-10,1,Category C,218,287,30889
2010,2010-10,1,Category D,345,422,1502
2010,2010-10,1,Category E,311,518,44090
2010,2010-10,2,Category A,647,817,32415
2010,2010-10,2,Category B,479,766,44600
2010,2010-10,2,Category C,210,287,30511
2010,2010-10,2,Category D,333,430,1689
2010,2010-10,2,,311,455,44900
2010,2010-11,1,Category A,598,843,34001
2010,2010-11,1,Category B,482,718,45501
2010,2010-11,1,Category C,205,270,31006
2010,2010-11,1,Category D,357,414,1452
2010,2010-11,1,Category E,316,497,46001
2010,2010-11,2,Category A,597,833,39000
2010,2010-11,2,Category B,480,709,47890
2010,2010-11,2,Category C,205,241,31202
2010,2010-11,2,Category D,361,424,1502
2010,2010-11,2,Category E,333,634,49890
2010,2010-12,1,Category A,598,1020,47604
2010,2010-12,1,Category B,479,1034,62502
2010,2010-12,1,Category C,208,294,32001
2010,2010-12,1,Category D,337,410,1701
2010,2010-12,1,Category E,313,674,64900
2010,2010-12,2,Category A,617,755,46129
2010,2010-12,2,Category B,499,872,72001
2010,2010-12,2,Category C,208,300,33501
2010,2010-12,2,Category D,369,406,1551
2010,2010-12,2,Category E,311,463,76102
2011,2011-01,1,Category A,614,1192,38889
2011,2011-01,1,Category B,481,790,69000
2011,2011-01,1,Category C,205,294,35111
2011,2011-01,1,Category D,340,398,1503
2011,2011-01,1,Category E,309,475,75789
2011,2011-01,2,Category A,607,1091,40123
2011,2011-01,2,Category B,483,700,58910
2011,2011-01,2,Category C,207,272,30000
2011,2011-01,2,Category D,339,458,1690
2011,2011-01,2,Category E,319,433,67009
2011,2011-02,1,Category A,523,1146,37124
2011,2011-02,1,Category B,431,640,53400
2011,2011-02,1,Category C,275,356,28589
2011,2011-02,1,Category D,328,417,1819
2011,2011-02,1,Category E,333,648,58890
2011,2011-02,2,Category A,511,788,42999
2011,2011-02,2,Category B,424,726,62000
2011,2011-02,2,Category C,287,368,29011
2011,2011-02,2,Category D,330,461,2001
2011,2011-02,2,Category E,336,558,62001
2011,2011-03,1,Category A,532,875,42600
2011,2011-03,1,Category B,424,667,61894
2011,2011-03,1,Category C,276,360,30001
2011,2011-03,1,Category D,325,490,2604
2011,2011-03,1,Category E,336,574,62010
2011,2011-03,2,Category A,527,927,43813
2011,2011-03,2,Category B,424,579,57002
2011,2011-03,2,Category C,281,371,29690
2011,2011-03,2,Category D,362,429,2534
2011,2011-03,2,Category E,330,458,59073
2011,2011-04,1,Category A,512,813,43212
2011,2011-04,1,Category B,425,542,55001
2011,2011-04,1,Category C,276,316,28189
2011,2011-04,1,Category D,340,500,2490
2011,2011-04,1,Category E,341,454,57100
2011,2011-04,2,Category A,565,964,44000
2011,2011-04,2,Category B,423,627,56801
2011,2011-04,2,Category C,277,346,23900
2011,2011-04,2,Category D,326,478,2502
2011,2011-04,2,Category E,330,484,56001
2011,2011-05,1,Category A,511,944,44790
2011,2011-05,1,Category B,439,650,56011
2011,2011-05,1,Category C,277,366,21889
2011,2011-05,1,Category D,330,481,2253
2011,2011-05,1,Category E,330,498,56490
2011,2011-05,2,Category A,523,760,46989
2011,2011-05,2,Category B,424,564,56300
2011,2011-05,2,Category C,283,381,22989
2011,2011-05,2,Category D,326,486,2013
2011,2011-05,2,Category E,331,470,56889
2011,2011-06,1,Category A,510,880,53390
2011,2011-06,1,Category B,424,759,63000
2011,2011-06,1,Category C,276,457,29006
2011,2011-06,1,Category D,327,507,2491
2011,2011-06,1,Category E,338,530,62000
2011,2011-06,2,Category A,512,715,50244
2011,2011-06,2,Category B,423,684,67700
2011,2011-06,2,Category C,279,391,31089
2011,2011-06,2,Category D,328,367,2290
2011,2011-06,2,Category E,339,468,65490
2011,2011-07,1,Category A,514,839,55989
2011,2011-07,1,Category B,445,728,68501
2011,2011-07,1,Category C,276,375,32590
2011,2011-07,1,Category D,325,369,2360
2011,2011-07,1,Category E,372,509,68811
2011,2011-07,2,Category A,510,776,56002
2011,2011-07,2,Category B,436,626,72501
2011,2011-07,2,Category C,284,393,34502
2011,2011-07,2,Category D,332,496,2012
2011,2011-07,2,Category E,335,459,74490
2011,2011-08,1,Category A,566,1034,48801
2011,2011-08,1,Category B,354,469,70890
2011,2011-08,1,Category C,241,383,34009
2011,2011-08,1,Category D,390,470,1890
2011,2011-08,1,Category E,360,488,70117
2011,2011-08,2,Category A,557,927,49301
2011,2011-08,2,Category B,353,527,65521
2011,2011-08,2,Category C,245,367,32289
2011,2011-08,2,Category D,387,471,1999
2011,2011-08,2,Category E,337,516,67000
2011,2011-09,1,Category A,548,794,51000
2011,2011-09,1,Category B,359,496,63002
2011,2011-09,1,Category C,243,328,31900
2011,2011-09,1,Category D,388,532,2339
2011,2011-09,1,Category E,330,466,65589
2011,2011-09,2,Category A,548,951,48006
2011,2011-09,2,Category B,353,469,64889
2011,2011-09,2,Category C,250,325,30089
2011,2011-09,2,Category D,392,492,2109
2011,2011-09,2,Category E,332,449,62502
2011,2011-10,1,Category A,549,793,50289
2011,2011-10,1,Category B,356,524,63600
2011,2011-10,1,Category C,249,348,32801
2011,2011-10,1,Category D,394,486,2078
2011,2011-10,1,Category E,331,452,65058
2011,2011-10,2,Category A,565,873,56112
2011,2011-10,2,Category B,353,633,75889
2011,2011-10,2,Category C,244,354,37011
2011,2011-10,2,Category D,387,486,2091
2011,2011-10,2,Category E,330,518,73600
2011,2011-11,1,Category A,548,766,55997
2011,2011-11,1,Category B,356,551,77000
2011,2011-11,1,Category C,244,365,40803
2011,2011-11,1,Category D,388,429,2012
2011,2011-11,1,Category E,330,507,78001
2011,2011-11,2,Category A,559,756,54887
2011,2011-11,2,Category B,353,518,77340
2011,2011-11,2,Category C,256,335,40189
2011,2011-11,2,Category D,394,469,1889
2011,2011-11,2,Category E,355,496,75889
2011,2011-12,1,Category A,549,781,52392
